Landmark_Name,Landmark_Alternate_Name,BuildType,USE_ORIG,Use_Second,Use_Tertia,Borough,Neighborhood,Address,latitude,longitude,geometry,FID,OBJECTID,Block,Lot,BBL_Code,Shape_Leng,Shape_Area,URL_IMAGE
Brooklyn Bridge,"",Bridge,"Infrastructure, bridge","","","",DUMBO,"spanning the East River between Cadman Plaza, Brooklyn, and City Hall Park, Manhattan",40.70626,-73.99706,Point,679,1147,0,0,0,7121.2515,240160.92,http://www1.nyc.gov/assets/lpc/images/content/designations/0098.jpg
Public School 15 (Daniel D. Tompkins School),"",School,"Civic, school","","",Staten Island,"Stapleton, Rosebank",98 Grant Street,40.63369,-74.07836,Point,1139,3,506,81,5005060081,748.859,32265.596,http://www1.nyc.gov/assets/lpc/images/content/designations/1877.jpg
Samuel Gompers Industrial High School,"",School,"Civic, school","","",The Bronx,"Mott Haven, Port Morris",455 Southern Boulevard (aka 462 Wales Avenue),40.81048,-73.90758,Point,322,0,2576,25,2025760026,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2666.jpg
American Tract Society Building,"",Office Building,"Commercial, office building","","",Manhattan,Civic Center,150 Nassau Street,40.711403,-74.005905,Point,754,419,100,7501,1001007501,404.77896,10217.939,http://www1.nyc.gov/assets/lpc/images/content/designations/2038.jpg
Fire Engine Company No. 31,now the Downtown Community Television Center,Fire Station,"Civic, fire station",Civic org,"",Manhattan,Civic Center,87 Lafayette Street,40.71732,-74.00115,Point,1508,373,197,1,1001970001,396.59854,9730.187,http://www1.nyc.gov/assets/lpc/images/content/designations/0087.jpg
Steinway Hall,"",Office Building,"Commercial, office building","","Commercial, Retail",Manhattan,Midtown West/Theatre District,109-113 West 57th Street,40.765003,-73.97757,Point,116,1323,1010,25,1010100025,631.3176,17515.967,http://www1.nyc.gov/assets/lpc/images/content/designations/2100.jpg
"New York Public Library, Aguilar Branch","",Library,"Civic, library","","",Manhattan,East Harlem,174 East 110th Street,40.794178,-73.94348,Point,877,543,1637,141,1016370141,311.42978,5285.7153,http://www1.nyc.gov/assets/lpc/images/content/designations/1837.jpg
Guardian Life Insurance Company of America Annex,"",Office Building,"Commercial, office building","","",Manhattan,"",105 East 17th Street,40.736492,-73.98796,Point,1318,182,873,10,1008730010,832.2399,30365.855,http://www1.nyc.gov/assets/lpc/images/content/designations/2247.jpg
Hearst Magazine Building,"",Office Building,"Commercial, office building","","",Manhattan,Midtown West,951-969 Eighth Avenue,40.766567,-73.98361,Point,1389,253,1047,7502,1010477502,829.2931,42945.68,http://www1.nyc.gov/assets/lpc/images/content/designations/1625.jpg
Oliver Street Baptist Church,now Mariners' Temple,Church,"Religious, church, Baptist",Baptist Church,"",Manhattan,Bowery,12 Oliver Street,40.712975,-73.99773,Point,1510,375,279,69,1002790069,448.59076,11602.157,http://www1.nyc.gov/assets/lpc/images/content/designations/0093.jpg
Brooklyn Trust Company Building,"",Bank,"Commercial, bank","","",Brooklyn,Brooklyn Heights,177-179 Montague Street,40.694595,-73.99206,Point,359,825,244,17,3002440017,579.684,14170.919,http://www1.nyc.gov/assets/lpc/images/content/designations/1905.jpg
St. Regis Hotel,"",Hotel,"Commercial, hotel",Hotel,"",Manhattan,Midtown/Midtown South,699-703 Fifth Avenue,40.761257,-73.97448,Point,903,569,1290,7502,1012907502,708.6843,23437.371,http://www1.nyc.gov/assets/lpc/images/content/designations/1552.jpg
Westfield Township School No. 7,later Public School 4,School,"Civic, school","","",Staten Island,"Charleston, Kreischerville, Westfield Township",4210-4212 Arthur Kill Road,40.539814,-74.23705,Point,93,1300,7315,7,0,750.3374,31601.742,http://www1.nyc.gov/assets/lpc/images/content/designations/1876.jpg
Trinity Chapel Complex,now the Serbian Orthodox Cathedral of Saint Sava and Parish House,Church,"Religious, church, Episcopal",Serbian Orthodox Church,"",Manhattan,"Hudson Yards, Chelsea, Flatiron, Union Square",15 West 25th Street,40.743736,-73.98983,Point,1495,360,827,22,1008270022,702.75037,24848.56,http://www1.nyc.gov/assets/lpc/images/content/designations/0233.jpg
