latitude,longitude,altitude,geometry,FID,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteTy,LPC_SiteNo,LPC_SiteSt,LPC_Altern,Shape_Leng,Shape_Area,LP_NumTrim,DesDate,LandmarkTy,NEIGHBORHO,Full_Cit,Date_Low,Date_High,AltDate_Lo,AltDate_Hi,Arch_Prima,Arch_Alter,OtherDesig,Style_Prim,Style_Alt,BuildType,USE_ORIG,Use_Second,Use_Tertia,Date_Comb,URL_REPORT,URL_IMAGE,Web_FLAG,BORO,WebDes_Dte,BBL_string
40.81133429,-73.9623977,,Point,8,1215,MN,1992,13,Broadway and Niebuhr Place,1019920013,Union Theological Seminary,LP-00595,"Borough of Manhattan Tax Map Block 1992, Lot 13 in part, consisting of the land on which the described buildings are situated.",Irregular,Three portions of full-block complex designated,Designated,"encompassing Brown Memorial Tower, James Tower, and James Memorial Chapel",582.3313539,8988.258164,LP-0595,-67219200000,Individual Landmark,Morningside Heights,"Allen & Collens, design, 1906-07; Brown Memorial Tower, base, 1908-10, tower, 1927-28; James Tower and James Memorial Chapel, 1908-10",1908,1910,0,0,Allen & Collens, , ,English Perpendicular Gothic, ,Church Seminary,"Religious, seminary, Protestant", , ,1908 - 1910,http://s-media.nyc.gov/agencies/lpc/lp/0595.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0595.jpg,1,Manhattan,-67132800000, 
40.70259491,-73.99472238,,Point,17,1224,BK,200,5,8 Cadman Plaza West (Old Fulton Street),3002000005,Brooklyn City Railroad Company Building,LP-00718,"Borough of Brooklyn Tax Map Block 200, Lot 1.",Block and Lot,"Lot changed since designation, lot 1 subdivided into several lots, primary building is now located on lot 5",Designated, ,510.4341385,8655.72021,LP-0718,99014400000,Individual Landmark,Fulton Ferry,1860-61,1860,1861,0,0,Unknown, , ,Italianate, ,Office Building,"Commercial, office building", , ,1860 - 1861,http://s-media.nyc.gov/agencies/lpc/lp/0718.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0718.jpg,1,Brooklyn,99100800000, 
40.79648174,-73.77923061,,Point,19,1226,QN,5917,1,Fort Totten Park,4059170001,Fort Totten Battery,LP-00826,"Borough of Queens Tax Map Block 5917, Lot 1, in part, consisting of the land on which the described improvement is situated.",Footprint, ,Designated, ,995.9815441,16881.84546,LP-0826,1.49E+11,Individual Landmark,Fort Totten,"William Petit Trowbridge, 1862-64",1862,1864,0,0,William Petit Trowbridge, , , , ,Fort,"Civic, fort","Civic, recreational", ,1862 - 1864,http://s-media.nyc.gov/agencies/lpc/lp/0826.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0826.jpg,1,Queens,1.49E+11, 
40.79216332,-73.77777175,,Point,20,1227,QN,5917,1,208 Totten Avenue,4059170001,Fort Totten Officer's Club,LP-00827,"Borough of Queens Tax Map Block 5917, Lot 1, in part, consisting of the land on which the described building is situated.",Footprint, ,Designated, ,425.006625,6163.765459,LP-0827,1.49E+11,Individual Landmark,Fort Totten,"c. 1870; enlargement, 1887",1870,1875,1887,1887,Unknown, , ,Gothic Revival, ,Club,"Institutional, club","Institutional, museum", ,1870 - 1875,http://s-media.nyc.gov/agencies/lpc/lp/0827.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0827.jpg,1,Queens,1.49E+11, 
40.75780432,-73.95669022,,Point,21,1228, ,0,0,"Spanning the East River between 11th Street and Bridge Plaza North and Bridge Plaza South, Queens, and East 59th Street, Manhattan",0,Queensboro Bridge,LP-00828,Too long,Irregular,"Shape approximate, digitized from aerial photo",Designated, ,6793.991645,267214.7788,LP-0828,1.35E+11,Individual Landmark,"Queensbridge, Ravenswood, Long Island City, Lenox Hill, Roosevelt Island","Gustav Lindenthal, engineer; Henry Hornbostel, architect, 1901-08",1901,1908,0,0,Henry Hornbostel, ,Gustav Lindenthal, , ,Bridge,"Infrastructure, bridge", , ,1901 - 1908,http://s-media.nyc.gov/agencies/lpc/lp/0828.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0828.jpg,1, ,1.35E+11, 
40.84150287,-73.87296993,,Point,22,1229,BX,4011,210,481 Morris Park Avenue,2040110210,"New York, Westchester & Boston Railroad, Administration Building",LP-00839,"Borough of the Bronx Tax Map Block 4011, Lot 210 in part consisting of the land on which the described building is situated.",Block and Lot, ,Designated,now the East 180th Street Subway Station,297.9005288,4857.151578,LP-0839,2.01E+11,Individual Landmark,East Tremont,"Fellheimer & Long and Allen H. Stem, 1910-12",1910,1912,0,0,Fellheimer & Long; Allen H. Stem, , , , ,Train Station,"Infrastruction, transportation, railroad station","Infrastruction, transportation, subway station", ,1910 - 1912,http://s-media.nyc.gov/agencies/lpc/lp/0839.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0839.jpg,1,The Bronx,2.01E+11, 
40.75278586,-73.98379951,,Point,26,1233,MN,841,71,40 West 40th Street,1008410071,American Radiator Building,LP-00878,"Borough of Manhattan Tax Map Block 841, Lot 71 in part, consisitng of the land on which the described building is situated.",Footprint,"Lot changed since designation, lot 75 subdivided (comprising non-designated portion of lot) in 1999-2000; five-story section to west explicitly excluded from landmark site",Designated,now the Bryant Park Hotel,311.2906985,5958.843483,LP-0878,1.53E+11,Individual Landmark,Midtown/Midtown South,"Raymond Hood, 1923-24",1923,1924,0,0,Raymond Hood, , ,Neo Gothic, ,Office Building,"Commercial, office building",Hotel, ,1923 - 1924,http://s-media.nyc.gov/agencies/lpc/lp/0878.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0878.jpg,1,Manhattan,1.54E+11, 
40.63206956,-74.07888455,,Point,27,1234,SI,516,0,217-225 St. Paul's Avenue,0,Saint Paul's Memorial Church and Rectory,LP-00891,"Borough of Staten Island Tax Map Block 516, Lots 21 and 24.",Multiple Lots, ,Designated, ,839.45138,44086.87076,LP-0891,1.75E+11,Individual Landmark,"Stapleton, Rosebank","Edward T. Potter, 1866-70",1866,1870,0,0,Edward T. Potter, , ,High Victorian Gothic, ,Church,"Religious, church, Episcopal", , ,1866 - 1870,http://s-media.nyc.gov/agencies/lpc/lp/0891.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0891.jpg,1,Staten Island,1.75E+11, 
40.70174274,-73.97580863,,Point,29,1236,BK,2023,1,Dock Street at the foot of Third Street,3020230001,Dry Dock No. 1,LP-00895,"Borough of Brooklyn Tax Map Block 2023, Lot 1.",Block and Lot,"Shape approximate, based on historic tax maps and pierhead shape in boundary layer; probably should be amended to include only the footprint",Designated, ,29362.153,6787386.632,LP-0895,1.81E+11,Individual Landmark,Brooklyn Navy Yard,"William J. McAlpine, chief engineer, 1840-51",1840,1851,0,0,William J. McAlpine, ,Thornton MacNess Niven, , ,Dry Dock,"Infrastructure, dry dock", , ,1840 - 1851,http://s-media.nyc.gov/agencies/lpc/lp/0895.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0895.jpg,1,Brooklyn,1.81E+11, 
40.68924303,-74.04454222,,Point,31,1238,MN,1,101,Liberty Island,1000010101,Statue of Liberty,LP-00931,"Borough of Manhattan Tax Map Block 1, Lot 101 in part.",Footprint,"Lot-in-part clarified in Findings and Designation section as ""the land on which the described structure is situated.""",Designated, ,1196.335576,60488.72927,LP-0931,2.12E+11,Individual Landmark,Liberty Island,"Frédéric Auguste Bartholdi, 1871-86; base, Richard Morris Hunt, 1881-86",1871,1886,1881,1886,Frédéric Auguste Bartholdi,Richard Morris Hunt,Gustave Eiffel; Gaget Gauthier & Co.; General Charles Pomeroy Stone, , ,Monument,"Civic, monument", , ,1871 - 1886,http://s-media.nyc.gov/agencies/lpc/lp/0931.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0931.jpg,1,Manhattan,2.12E+11, 
40.79205695,-73.97895097,,Point,32,1239,MN,1254,1,Riverside Drive at West 89th Street,1012540001,Soldiers' and Sailors' Monument,LP-00932,"Borough of Manhattan Tax Map Block 1254, Lot 1 in part.",Footprint,"Lot-in-part clarified in Findings and Designation section as ""Borough of Manhattan Tax Map Block 1254, Lot 1 which contains the land on which the described structured is situated.""; footprint approximate, based on aerial photos",Designated, ,819.5880962,17567.51457,LP-0932,2.12E+11,Individual Landmark,Upper West Side,"Stoughton & Stoughton, with Paul E. M. DuBoy, 1897-1902",1897,1902,0,0,Stoughton & Stoughton; Paul E. M. DuBoy, , , , ,Monument,"Civic, monument", , ,1897 - 1902,http://s-media.nyc.gov/agencies/lpc/lp/0932.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0932.jpg,1,Manhattan,2.12E+11, 
40.608647,-74.03264882,,Point,34,1241,BK,6153,1,Whiting Quadrangle,3061530001,Fort Hamilton Casemate Fort,LP-00953,"Borough of Brooklyn Tax Map Block 6153, Lot 1 in part consisting of the land described above.",Irregular,"Shape approximate, based on aerial photos and excellent map in research file; full boundary description in address section of designation report",Designated,now the  Officers' Club,2369.058568,298742.4826,LP-0953,2.27E+11,Individual Landmark,Bay Ridge,1825-31,1825,1831,0,0,Unknown, , , , ,Fort,"Civic, fort","Civic, military, social club", ,1825 - 1831,http://s-media.nyc.gov/agencies/lpc/lp/0953.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0953.jpg,1,Brooklyn,2.27E+11, 
